"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
"P2","HDR-4P UART","27.813mm","87.63mm","31.623mm","87.63mm","31.623mm","87.63mm","T","180","LOG"
"P1","XH2.54-4P","9.906mm","93.218mm","13.716mm","93.218mm","13.716mm","93.218mm","T","180","JLINK"
"LED3","0603_LED_S1","8.509mm","80.645mm","8.509mm","80.645mm","","","T","180","懦腑 0603"
"LED2","0603_LED_S1","8.509mm","83.947mm","8.509mm","83.947mm","","","T","180","酴腑 0603"
"LED1","0603_LED_S1","8.509mm","87.249mm","8.509mm","87.249mm","","","T","180","蟯腑 0603"
"F2","FU 0603","30.734mm","83.439mm","30.734mm","83.439mm","29.845mm","83.439mm","T","360","5V 1A"
"F1","FU 0603","14.478mm","88.011mm","14.478mm","88.011mm","13.589mm","88.011mm","T","360","5V 1A"
"D4","SOD-323","30.607mm","85.217mm","30.607mm","85.217mm","29.427mm","85.217mm","T","180","LESD3Z5.0T1G"
"D3","SOD-323","14.605mm","89.662mm","14.605mm","89.662mm","15.785mm","89.662mm","T","360","LESD3Z3.3T1G"
"D2","SOD-323","27.559mm","64.567mm","27.559mm","64.553mm","27.559mm","65.733mm","T","90","1N4148"
"D1","SOD-323","36.957mm","44.323mm","36.957mm","44.323mm","35.777mm","44.323mm","T","180","1N4148"
"CB5","CW","43.815mm","44.45mm","43.815mm","43.958mm","43.815mm","43.958mm","T","90","CB"
"CB4","CW","41.529mm","44.45mm","41.529mm","43.958mm","41.529mm","43.958mm","T","90","CB"
"CB3","CW","58.268mm","53.34mm","58.749mm","53.34mm","58.749mm","53.34mm","T","180","CB"
"CB2","CW","35.712mm","53.594mm","35.195mm","53.594mm","35.195mm","53.594mm","T","360","CB"
"CB1","CW","37.44mm","33.147mm","36.957mm","33.147mm","36.957mm","33.147mm","T","360","CB"
"C21","0402_C","23.876mm","59.563mm","23.876mm","59.563mm","24.301mm","59.563mm","T","180","100nF"
